[1021/013529.830:INFO:CONSOLE(123)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yW/r/WfD9-DpTyyP.js (123)
[1021/013529.977:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Feature xr-spatial-tracking's parameters are ignored.", source:  (0)
[1021/013529.977:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[1021/013529.977:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'compute-pressure'.", source:  (0)
[1021/013529.977:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[1021/013529.977:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-issuance'.", source:  (0)
[1021/013529.977:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[1021/013529.977:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage-select-url'.", source:  (0)
[1021/013529.978:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-redemption'.", source:  (0)
[1021/013529.978:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'unload'.", source:  (0)
[1021/013529.978:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[1021/013543.784:INFO:CONSOLE(344)] "WAWebLoggerWorker initialized", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013543.785:INFO:CONSOLE(344)] "[storage] start setSchemaVersions from fts worker interface", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013543.786:INFO:CONSOLE(344)] "[storage] set schema versions: [model-storage,160,fts-storage,8,jobs-storage,1,lru-media-storage-idb,2,offd-storage,4,qpl-storage,0,signal-storage,6,worker-storage,1,sw,2,wawc,14,wawc_db_enc,2]. is worker? true", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013545.353:INFO:CONSOLE(344)] "FTS:Delegate: start indexer", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013545.353:INFO:CONSOLE(344)] "FTS:Delegate: start perform init", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013545.353:INFO:CONSOLE(344)] "FTS:Delegate: schema versions ready", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013545.354:INFO:CONSOLE(344)] "FTS:Delegate: before db initialization", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013545.355:INFO:CONSOLE(344)] "[storage] applying schema versions from [0 to 8] for the database: 'fts-storage'", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013545.438:INFO:CONSOLE(344)] "[storage] applying schema versions from [0 to 160] for the database: 'model-storage'", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013548.267:INFO:CONSOLE(344)] "FTS:Delegate: after db initialization", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013548.270:INFO:CONSOLE(344)] "FTS:Manifest Writer: No changes made, current:['3.1', '1'], latest:['3.1', '1']", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013548.271:INFO:CONSOLE(344)] "FTS:Delegate: Inited", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013548.273:INFO:CONSOLE(344)] "FTS:Delegate: Init indexing ops", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013548.280:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013548.305:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013548.308:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013631.037:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
[1021/013631.061:INFO:CONSOLE(344)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y6/r/ENTLTW0xfpl.js (344)
